"zip_code","city_name","mean_price","median_price","median_reviews","mean_reviews","median_star","mean_star","median_salary","population","zip_count","Latitude","Longitude"
1721,"Framingham",1.5,1.5,25.5,65.5454545454545,3.5,3.45454545454545,91904,14602,22,42.257956,-71.45886
1778,"Framingham",1.69230769230769,2,33,48.1538461538462,3,3.19230769230769,140652,13191,13,42.345583,-71.35643
1776,"Framingham",1.66666666666667,2,72,77.4666666666667,3.5,3.36666666666667,152789,16826,15,42.38532,-71.42989
1772,"Framingham",1.14285714285714,1,14,38.7142857142857,3.5,3.57142857142857,141459,8435,7,42.297643,-71.53369
1752,"Framingham",1.8,2,44.5,54.1,3.5,3.4,71835,36273,10,42.350909,-71.54753
1770,"Framingham",1.6,2,27,22.4,4,4.1,145250,4245,5,42.231025,-71.37202
1748,"Framingham",1,1,85.5,85.5,4.25,4.25,121182,13318,2,42.220447,-71.53418
1022,"Chicopee",2,2,2,2,3,3,50440,2124,1,42.196666,-72.55606
65804,"Chicopee",2,2,0,0,3,3,46792,36801,1,37.161299,-93.2519
2139,"Cambridge",1.83333333333333,2,180,259.798245614035,3.5,3.66666666666667,62821,35273,114,42.364347,-71.10431
2138,"Cambridge",1.80701754385965,2,186.5,247.90350877193,3.5,3.65789473684211,68127,34994,114,42.379146,-71.12803
2140,"Cambridge",1.74358974358974,2,142,195.307692307692,3.5,3.61538461538462,65283,17158,39,42.393327,-71.12837
2141,"Cambridge",1.58620689655172,2,60,99.5862068965517,4,3.67241379310345,57909,12010,29,42.370519,-71.08443
2142,"Cambridge",1.93333333333333,2,120.5,165.333333333333,3.5,3.65,61141,1823,30,42.362297,-71.08412
2145,"Cambridge",1.5,1.5,241,239.25,3.75,3.5,50718,26833,4,42.390846,-71.09225
2215,"Cambridge",1.52542372881356,1,138,246.457627118644,4,3.74576271186441,30726,21896,59,42.346997,-71.10215
2144,"Cambridge",1.8,2,597,417.8,4.5,3.9,68004,24248,5,42.399546,-71.12165
2130,"Brookline",1.71428571428571,2,165,218.571428571429,4,4.11904761904762,69576,34961,21,42.309998,-71.11171
2118,"Brookline",1.90196078431373,2,220,292.725490196078,4,3.79411764705882,51368,22527,51,42.338724,-71.07276
2115,"Brookline",1.63265306122449,2,96,194.204081632653,3.5,3.75510204081633,30282,25637,49,42.34308,-71.09268
2116,"Brookline",2.03846153846154,2,241,321.144230769231,4,3.86538461538462,80153,19480,104,42.349622,-71.07372
2108,"Brookline",1.68421052631579,2,164,254.394736842105,3.75,3.73684210526316,96033,3324,38,42.357903,-71.06408
2120,"Brookline",2,2,192,207.75,4,4,28794,11553,4,42.332099,-71.09651
2119,"Brookline",1.66666666666667,2,154,119.333333333333,4,3.83333333333333,36316,23537,3,42.324511,-71.08455
2132,"Brookline",1.5,1.5,117.5,117.5,4,4,76802,25943,2,42.279432,-71.1598
2111,"Brookline",1.76363636363636,2,144,227.963636363636,4,3.76363636363636,31442,4948,55,42.349838,-71.06101
2127,"Brookline",1.23684210526316,1,42.5,83.2894736842105,4,3.80263157894737,64285,29457,38,42.33499,-71.04562
2125,"Brookline",1.5,1.5,127.5,127.5,4.25,4.25,44266,32937,2,42.316852,-71.05811
2113,"Brookline",2.13636363636364,2,210.5,344.363636363636,4,3.81818181818182,60386,6453,44,42.365028,-71.05636
2131,"Brookline",1.75,2,171,137,4,3.875,62945,30491,4,42.284678,-71.13052
2109,"Brookline",1.64102564102564,2,112,140.358974358974,4,3.74358974358974,92310,3278,39,42.361477,-71.05417
2110,"Brookline",1.68292682926829,2,77,111.463414634146,3.5,3.73170731707317,102972,1606,41,42.356532,-71.05365
2210,"Brookline",2.16666666666667,2,175.5,256,3.5,3.8,61807,413,30,42.347974,-71.04463
2114,"Brookline",1.8,2,134,176.771428571429,3.5,3.68571428571429,69809,11170,35,42.361792,-71.06774
2302,"Brockton",1.60869565217391,2,17,19,4,3.69565217391304,62408,32523,23,42.08715,-71.00222
2322,"Brockton",1.66666666666667,2,6.5,8.83333333333333,3.25,3.41666666666667,67313,4483,6,42.121932,-71.04522
2072,"Brockton",1.7,2,22,31.5333333333333,3.5,3.61666666666667,69340,27342,30,42.125432,-71.10627
2021,"Brockton",1.33333333333333,1,15,15.3333333333333,4,3.66666666666667,88829,20755,3,42.166776,-71.1343
2128,"Boston",1.64864864864865,2,53,92.4054054054054,3.5,3.60810810810811,42613,38185,37,42.378297,-71.0255
2199,"Boston",2.8,3,240,343.4,4,3.9,68080,1004,5,42.34713,-71.08234
2129,"Boston",1.5,1.5,67.5,67.5,4.25,4.25,80223,15195,2,42.378619,-71.06495
