Id,Label,terminalName,name,lat,lon,installed,locked,temporary
26,Washington St. at Waltham St.,D32002,Washington St. at Waltham St.,42.341522,-71.068922,TRUE,FALSE,FALSE
38,TD Garden - Legends Way,D32003,TD Garden - Legends Way,42.366231,-71.060868,TRUE,FALSE,FALSE
35,Summer St. / Arch St.,D32004,Summer St. / Arch St.,42.354594,-71.05896,TRUE,FALSE,FALSE
36,Boston Public Library - 700 Boylston St.,D32005,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,TRUE,FALSE,FALSE
40,Lewis Wharf - Atlantic Ave.,D32006,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,TRUE,FALSE,FALSE
42,Boylston St. at Arlington St.,D32007,Boylston St. at Arlington St.,42.352096,-71.070378,TRUE,FALSE,FALSE
43,Rowes Wharf - Atlantic Ave,D32008,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,TRUE,FALSE,FALSE
44,Faneuil Hall - Union St. at North St.,D32009,Faneuil Hall - Union St. at North St.,42.360583,-71.056868,TRUE,FALSE,FALSE
47,Cross St. at Hanover St.,D32010,Cross St. at Hanover St.,42.362811,-71.056067,TRUE,FALSE,FALSE
49,Stuart St. at Charles St.,D32011,Stuart St. at Charles St.,42.351146,-71.066289,TRUE,FALSE,FALSE
48,Post Office Square,D32012,Post Office Square,42.356755,-71.055407,TRUE,FALSE,FALSE
50,Boylston St / Berkeley St,D32013,Boylston St / Berkeley St,42.350989,-71.073644,TRUE,FALSE,FALSE
54,Tremont St / West St,D32014,Tremont St / West St,42.354979,-71.063348,TRUE,FALSE,FALSE
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,TRUE,FALSE,FALSE
60,Charles Circle - Charles St. at Cambridge St.,D32016,Charles Circle - Charles St. at Cambridge St.,42.360877,-71.07131,TRUE,FALSE,FALSE
58,The Esplanade - Beacon St. at Arlington St.,D32017,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,TRUE,FALSE,FALSE
